split,name,category,gt_voxels
train,train_1741_c_2.nii.gz,2d,120221.0
train,train_2282_a_2.nii.gz,2d,6258.0
train,train_1694_a_2.nii.gz,2d,846.0
train,train_1696_a_2.nii.gz,2d,436.0
train,train_1568_a_2.nii.gz,2d,6433.0
train,train_2039_a_2.nii.gz,2d,182.0
train,train_1887_a_2.nii.gz,2d,314196.0
train,train_1905_a_2.nii.gz,2d,1192.0
train,train_2149_a_1.nii.gz,2d,1559.0
train,train_1378_a_2.nii.gz,2d,8066.0
train,train_1526_a_2.nii.gz,2d,10401.0
train,train_1591_b_2.nii.gz,2d,26504.0
train,train_2380_a_1.nii.gz,2d,75670.0
train,train_1734_a_1.nii.gz,2d,1840.0
train,train_1592_b_2.nii.gz,2d,94681.0
train,train_2159_a_5.nii.gz,2d,249852.0
train,train_2403_a_1.nii.gz,2d,457.0
train,train_1267_a_1.nii.gz,2d,747.0
train,train_1397_a_2.nii.gz,2d,135709.0
train,train_1292_b_2.nii.gz,2d,63792.0
train,train_1520_a_1.nii.gz,2d,219.0
train,train_1268_b_2.nii.gz,2d,13197.0
train,train_1610_a_2.nii.gz,2d,636.0
train,train_2139_d_2.nii.gz,2d,6532.0
train,train_1854_a_1.nii.gz,2d,811.0
train,train_1863_a_2.nii.gz,2d,446799.0
train,train_1649_a_1.nii.gz,2d,303.0
train,train_1340_a_2.nii.gz,2d,1303.0
train,train_1758_a_2.nii.gz,2d,12219.0
train,train_2407_a_2.nii.gz,2d,1051.0
train,train_1367_a_2.nii.gz,2d,1443779.0
train,train_2167_a_2.nii.gz,2d,108529.0
train,train_2342_a_5.nii.gz,2d,313710.0
train,train_2051_a_1.nii.gz,2d,11325.0
train,train_1481_a_1.nii.gz,2d,151685.0
train,train_1756_a_1.nii.gz,2d,100015.0
train,train_1525_b_1.nii.gz,2d,239276.0
train,train_1310_b_2.nii.gz,2d,267757.0
train,train_2286_a_1.nii.gz,2d,228.0
train,train_1491_a_2.nii.gz,2d,743205.0
train,train_1738_a_2.nii.gz,2d,163215.0
train,train_2504_a_2.nii.gz,2d,2002.0
train,train_2810_a_1.nii.gz,2d,5091.0
train,train_2460_a_2.nii.gz,2d,42245.0
train,train_2957_a_2.nii.gz,2d,8786708.0
train,train_2841_b_2.nii.gz,2d,113620.0
train,train_3694_a_1.nii.gz,2d,3474.0
train,train_2813_a_1.nii.gz,2d,6668.0
train,train_2802_a_1.nii.gz,2d,4852.0
train,train_2888_a_2.nii.gz,2d,1146.0
train,train_2913_c_1.nii.gz,2d,954.0
train,train_4788_a_2.nii.gz,2d,2685325.0
train,train_4051_a_1.nii.gz,2d,15443.0
train,train_2809_a_2.nii.gz,2d,6612482.0
train,train_2831_a_1.nii.gz,2d,9787.0
train,train_6270_a_1.nii.gz,2d,280.0
train,train_5632_a_1.nii.gz,2d,14789.0
train,train_5352_a_2.nii.gz,2d,153.0
train,train_5480_a_1.nii.gz,2d,83.0
train,train_6515_a_5.nii.gz,2d,108973.0
train,train_5887_a_2.nii.gz,2d,1553.0
train,train_7189_b_2.nii.gz,2d,4172.0
train,train_5813_a_2.nii.gz,2d,1273.0
train,train_5422_a_2.nii.gz,2d,830.0
train,train_6737_a_1.nii.gz,2d,2971.0
train,train_6244_a_2.nii.gz,2d,263.0
train,train_7072_a_1.nii.gz,2d,66.0
train,train_8052_a_2.nii.gz,2d,9942.0
train,train_6335_a_1.nii.gz,2d,1314.0
train,train_5571_b_1.nii.gz,2d,2938.0
train,train_6613_a_1.nii.gz,2d,666.0
train,train_5574_c_1.nii.gz,2d,29622.0
train,train_6991_a_1.nii.gz,2d,177842.0
train,train_7167_c_2.nii.gz,2d,13671.0
train,train_6405_a_1.nii.gz,2d,2486.0
train,train_7858_a_2.nii.gz,2d,136278.0
train,train_7328_a_1.nii.gz,2d,2220.0
train,train_6196_a_2.nii.gz,2d,2127.0
train,train_6093_a_2.nii.gz,2d,325.0
train,train_7007_a_2.nii.gz,2d,245.0
train,train_7250_f_2.nii.gz,2d,11174.0
train,train_5371_a_1.nii.gz,2d,288.0
train,train_6583_a_2.nii.gz,2d,472.0
train,train_8201_a_2.nii.gz,2d,7833.0
train,train_5442_b_2.nii.gz,2d,2011.0
train,train_5223_a_2.nii.gz,2d,223.0
train,train_6171_a_1.nii.gz,2d,2882.0
train,train_5762_a_2.nii.gz,2d,205.0
train,train_6247_a_1.nii.gz,2d,4117.0
train,train_5554_a_1.nii.gz,2d,6466.0
train,train_7119_a_2.nii.gz,2d,506.0
train,train_5908_a_1.nii.gz,2d,13291.0
train,train_5680_a_2.nii.gz,2d,19366.0
train,train_8118_a_2.nii.gz,2d,549.0
train,train_7739_a_2.nii.gz,2d,38079.0
train,train_8216_a_2.nii.gz,2d,1496.0
train,train_7887_a_2.nii.gz,2d,4144.0
train,train_7857_a_2.nii.gz,2d,429.0
train,train_8184_a_1.nii.gz,2d,49082.0
train,train_5203_a_2.nii.gz,2d,1828.0
train,train_6261_a_1.nii.gz,2d,6429.0
train,train_8089_b_2.nii.gz,2d,688.0
train,train_6541_a_2.nii.gz,2d,1031.0
train,train_6337_a_2.nii.gz,2d,88937.0
train,train_5993_a_2.nii.gz,2d,4570.0
train,train_5329_a_1.nii.gz,2d,22718.0
